1	1	7000.013378	6.987E-28	9.812E-05	.08220	.352	1216.18970	.57	-.009640													
1	1	7000.047855	3.550E-29	3.266E+00	.03010	.298	4240.94140	.51	-.018140													
1	1	7000.049129	1.184E-29	3.267E+00	.02810	.298	4240.94140	.51	-.017900													
1	1	7000.093920	4.724E-28	1.198E+01	.10080	.480	3680.44970	.69	-.003280													
1	1	7000.126457	5.326E-29	4.520E-03	.04080	.371	2733.96260	.61	-.015080													
1	3	7000.133005	3.711E-28	9.111E-01	.05020	.315	1624.73840	.56	-.002700													
1	2	7000.150779	5.749E-29	2.971E-01	.07040	.352	2300.77420	.61	-.008620													
1	1	7000.181175	4.802E-29	6.080E-02	.02700	.208	3439.30540	.38	-.015764													
1	1	7000.241602	2.719E-28	1.789E-01	.06240	.298	3224.54610	.51	-.034820													
1	3	7000.249678	1.445E-29	5.913E-03	.01640	.265	1554.41960	.24	-.001800													
1	3	7000.290501	5.238E-27	2.989E-01	.05050	.327	1076.80080	.56	-.011780													
1	3	7000.303914	5.598E-28	4.953E-01	.05180	.327	1435.36720	.65	-.014880													
1	1	7000.306946	6.141E-27	5.340E-01	.06080	.333	2764.69730	.57	-.014284													
1	1	7000.314574	9.380E-29	3.370E-04	.08350	.391	2053.96850	.62	-.002940													
1	2	7000.458120	4.809E-25	1.413E+00	.08600	.430	380.70240	.69	-.008910													
1	3	7000.506221	2.272E-29	2.807E+00	.05940	.371	2544.40990	.62	-.018140													
1	3	7000.557485	7.370E-28	1.266E-01	.00920	.210	1324.12180	.48	-.015608													
1	1	7000.570992	5.198E-28	1.164E+00	.02060	.265	3512.40380	.39	-.020520													
1	1	7000.571011	1.732E-28	1.164E+00	.02060	.265	3512.40380	.39	-.020580													
1	3	7000.589971	2.089E-26	1.523E-01	.09000	.425	315.07850	.67	-.005860													
1	3	7000.615026	1.566E-28	1.043E+01	.04170	.283	2506.82570	.56	-.018780													
1	1	7000.642160	2.788E-22	1.218E+01	.07530	.425	1201.92100	.56	-.008880													
1	3	7000.653565	5.188E-29	1.037E+01	.03920	.315	2506.91240	.56	-.021020													
1	1	7000.671907	5.156E-29	4.860E-01	.08520	.412	3597.86620	.64	-.013900													
1	1	7000.736994	1.497E-27	3.830E-03	.04400	.298	1875.46130	.48	-.014604													
1	1	7000.760533	3.179E-29	5.012E-03	.02790	.281	2740.42040	.39	-.024700													
1	1	7000.802630	6.576E-23	4.259E+00	.07760	.385	1282.91880	.65	-.008140													
1	2	7000.925767	5.544E-26	5.187E-01	.06590	.300	1001.70570	.57	-.007430													
1	1	7000.928070	2.501E-25	8.888E-01	.03110	.265	1960.20610	.39	-.016900													
1	3	7000.937858	6.863E-28	2.553E-01	.05880	.315	1213.61160	.56	-.002200													
1	1	7000.975038	1.662E-28	9.532E+00	.08740	.371	3784.67720	.62	-.007460													
1	1	7000.989405	6.231E-27	2.026E-03	.04470	.333	1411.64180	.56	-.018220													
1	1	7001.058630	3.106E-24	2.311E-01	.08180	.390	1059.64660	.61	-.016380													
1	2	7001.058912	1.352E-29	7.938E-02	.09420	.412	1995.87040	.69	-.016760													
1	2	7001.091972	1.915E-27	5.895E-01	.06220	.356	1808.36240	.48	-.011780													
1	1	7001.124990	1.477E-24	6.441E-01	.05340	.350	1718.71850	.51	-.022140													
1	2	7001.165374	2.804E-29	2.744E-01	.03450	.281	2501.34280	.48	-.024440													
1	1	7001.189147	5.445E-28	1.749E+00	.01680	.250	3391.12770	.36	-.020656													
1	1	7001.213213	6.600E-29	1.544E+00	.07350	.371	3600.05220	.62	-.012860													
1	1	7001.222439	9.201E-29	1.086E+01	.08910	.412	4066.12210	.69	-.008500													
1	1	7001.262040	4.680E-24	3.491E-02	.06990	.360	586.47920	.61	-.013184													
1	2	7001.276514	1.199E-29	1.080E-01	.06910	.371	2385.51370	.62	-.016940													
1	1	7001.322702	1.439E-29	1.157E-02	.05300	.298	3058.39770	.48	-.006652													
1	3	7001.368420	3.347E-29	1.183E+00	.08210	.391	2019.57070	.67	0.000800													
1	2	7001.415940	7.761E-29	3.020E-02	.04160	.180	1794.38020	.56	-.020664													
1	2	7001.421017	2.587E-29	3.020E-02	.04160	.315	1794.37460	.56	-.021544													
1	3	7001.425653	1.229E-27	1.161E+00	.04160	.333	1405.21660	.57	-.001300													
1	3	7001.457730	1.184E-25	6.915E-01	.04800	.340	584.94090	.57	-.009430													
1	2	7001.494040	1.865E-25	1.439E+00	.08110	.411	706.59780	.58	-.016940													
1	1	7001.499300	4.438E-24	5.145E-01	.05160	.335	1446.12790	.51	-.023600													
1	3	7001.502806	3.944E-26	6.918E-01	.04600	.325	585.16190	.57	-.009550													
1	3	7001.508126	3.696E-27	1.163E+00	.04360	.260	1405.14790	.57	-.010036													
1	1	7001.573110	3.550E-23	1.119E+00	.06060	.357	882.89030	.49	-.007300													
1	1	7001.608461	6.984E-27	1.339E-01	.08610	.371	2398.38160	.62	-.012160													
1	1	7001.619011	3.593E-27	5.852E-01	.04380	.315	2690.59380	.56	-.018980													
1	3	7001.642924	1.512E-29	1.914E+00	.04700	.315	2682.43020	.51	0.002000													
1	1	7001.684800	1.444E-23	1.918E-01	.07200	.430	931.23700	.61	-.007560													
1	3	7001.764470	2.701E-28	3.131E-01	.05070	.315	1470.27340	.56	-.003400													
1	1	7001.784723	9.108E-29	8.497E-04	.08550	.391	2024.15230	.62	-.003068													
1	2	7001.797002	3.833E-27	2.673E-02	.05350	.300	740.91230	.57	-.011916													
1	2	7001.806150	1.088E-25	6.788E-01	.03880	.278	740.91230	.56	-.012620													
1	1	7001.844550	1.452E-22	1.209E+00	.08710	.443	503.96810	.67	-.010320													
1	1	7001.852265	3.348E-28	2.368E-03	.02710	.221	2358.29960	.36	-.016164													
1	1	7001.924420	1.957E-22	7.401E-01	.06040	.445	446.69660	.61	-.007108													
1	3	7001.925630	8.048E-26	7.161E+00	.06710	.391	1119.48790	.57	-.009810													
1	1	7001.948820	5.608E-22	7.088E-01	.06000	.375	447.25230	.61	-.006370													
1	2	7002.014365	3.806E-29	6.646E-05	.08920	.391	325.21570	.67	-.004792													
1	3	7002.043940	4.363E-29	8.012E+00	.07170	.352	2434.22900	.61	-.010320													
1	2	7002.174830	2.834E-25	5.897E-01	.04150	.296	740.99860	.56	-.010350													
1	2	7002.218514	3.830E-28	3.271E-04	.08220	.371	445.34620	.62	-.005068													
1	2	7002.227660	1.165E-25	2.947E+00	.08170	.430	980.22220	.57	-.008890													
1	1	7002.228470	3.671E-25	3.669E+00	.04170	.330	2414.72190	.24	-.014820													
1	1	7002.230272	3.083E-25	8.087E+00	.08300	.352	2462.87520	.61	-.007380													
1	2	7002.253680	6.564E-29	4.245E-03	.06350	.315	1468.61230	.51	-.016860													
1	1	7002.259267	5.269E-27	1.010E-01	.08090	.371	2398.38160	.67	-.012875													
1	1	7002.262966	2.158E-29	5.650E-04	.04060	.265	2612.79910	.24	-.023740													
1	1	7002.349951	1.069E-29	3.666E-01	.08260	.371	3713.08230	.62	-.011080													
1	1	7002.374159	5.272E-26	2.702E-03	.07960	.333	982.91160	.57	-.008400													
1	1	7002.377403	1.241E-29	3.250E+00	.06340	.352	4186.56880	.57	-.010216													
1	1	7002.385108	5.508E-28	1.034E-01	.02790	.281	2740.42040	.48	-.024700													
